trip_id,subscriber_type,bikeid,start_time,start_station_id,start_station_name,end_station_id,end_station_name,duration_minutes
9900290240,Local365,871,2015-10-02 11:12:50 UTC,2576,Rainey @ River St,1006,Zilker Park West,33
9900290259,Local365,470,2015-10-02 17:12:40 UTC,1006,Zilker Park West,1008,Nueces @ 3rd,18
9900290296,Local365,306,2015-10-02 17:12:50 UTC,1008,Nueces @ 3rd,1007,Lavaca & 6th,0
9900290331,Local365,902,2015-10-02 10:12:19 UTC,1006,Zilker Park West,2576,Rainey @ River St,246
9900290333,Local365,369,2015-10-02 11:12:25 UTC,2576,Rainey @ River St,1006,Zilker Park West,32
9900290378,Local365,327,2015-10-02 14:12:30 UTC,1006,Zilker Park West,1006,Zilker Park West,1
9900290386,Local365,593,2015-10-02 17:12:52 UTC,1006,Zilker Park West,1008,Nueces @ 3rd,18
9900290396,Local365,22,2015-10-02 10:12:52 UTC,1008,Nueces @ 3rd,1008,Nueces @ 3rd,5
9900290438,Local30,866,2015-10-02 22:12:05 UTC,2712,Toomey Rd @ South Lamar,2576,Rainey @ River St,23
9900290485,Local365,72,2015-10-02 21:12:51 UTC,1006,Zilker Park West,1008,Nueces @ 3rd,25
9900290496,Local365,3,2015-10-02 17:12:57 UTC,1006,Zilker Park West,2576,Rainey @ River St,24
9900290499,Local365,100,2015-10-02 17:12:03 UTC,1008,Nueces @ 3rd,1006,Zilker Park West,11
9900290570,Weekender,58,2015-10-03 13:12:11 UTC,2576,Rainey @ River St,1006,Zilker Park West,23
9900290601,Walk Up,963,2015-10-03 21:12:51 UTC,1006,Zilker Park West,2546,ACC - West & 12th Street,18
9900290615,Walk Up,509,2015-10-03 13:12:22 UTC,1007,Lavaca & 6th,3291,11th & San Jacinto,17
9900290636,Walk Up,540,2015-10-03 12:12:14 UTC,1006,Zilker Park West,1008,Nueces @ 3rd,25
9900290649,Walk Up,503,2015-10-03 12:12:18 UTC,2536,Waller & 6th St.,3293,East 2nd & Pedernales,12
9900290651,Walk Up,385,2015-10-03 12:12:25 UTC,2536,Waller & 6th St.,3293,East 2nd & Pedernales,11
9900290672,Walk Up,153,2015-10-03 12:12:34 UTC,2541,State Capitol @ 14th & Colorado,2541,State Capitol @ 14th & Colorado,40
9900290692,Walk Up,344,2015-10-03 12:12:09 UTC,1008,Nueces @ 3rd,1006,Zilker Park West,18
9900290725,Walk Up,561,2015-10-03 18:12:48 UTC,2712,Toomey Rd @ South Lamar,2712,Toomey Rd @ South Lamar,49
9900290726,Walk Up,176,2015-10-03 18:12:05 UTC,2712,Toomey Rd @ South Lamar,2712,Toomey Rd @ South Lamar,0
9900290730,Walk Up,907,2015-10-03 13:12:53 UTC,2568,East 11th St. at Victory Grill,2568,East 11th St. at Victory Grill,3
9900290744,Walk Up,621,2015-10-03 16:12:53 UTC,1006,Zilker Park West,1007,Lavaca & 6th,0
9900290774,Walk Up,938,2015-10-03 23:12:47 UTC,2541,State Capitol @ 14th & Colorado,2576,Rainey @ River St,38
9900290817,Explorer,938,2015-10-03 20:12:44 UTC,1006,Zilker Park West,2541,State Capitol @ 14th & Colorado,30
9900290849,Walk Up,864,2015-10-03 22:12:53 UTC,2712,Toomey Rd @ South Lamar,2712,Toomey Rd @ South Lamar,0
9900290857,Walk Up,133,2015-10-03 18:12:07 UTC,1006,Zilker Park West,2712,Toomey Rd @ South Lamar,25
9900290861,Walk Up,80,2015-10-03 18:12:27 UTC,1006,Zilker Park West,1006,Zilker Park West,53
9900290896,Walk Up,72,2015-10-03 21:12:26 UTC,1006,Zilker Park West,2568,East 11th St. at Victory Grill,14
9900290901,Walk Up,414,2015-10-03 21:12:17 UTC,1006,Zilker Park West,1006,Zilker Park West,1
9900290903,Walk Up,442,2015-10-03 21:12:40 UTC,2712,Toomey Rd @ South Lamar,1008,Nueces @ 3rd,8
9900290904,Walk Up,696,2015-10-03 23:12:19 UTC,2576,Rainey @ River St,2536,Waller & 6th St.,42
9900290905,Walk Up,882,2015-10-03 21:12:27 UTC,1006,Zilker Park West,2576,Rainey @ River St,30
9900290968,Walk Up,133,2015-10-03 12:12:34 UTC,1006,Zilker Park West,1008,Nueces @ 3rd,24
9900290972,Walk Up,287,2015-10-03 12:12:37 UTC,1008,Nueces @ 3rd,2712,Toomey Rd @ South Lamar,8
9900291000,Walk Up,683,2015-10-03 13:12:52 UTC,1008,Nueces @ 3rd,1006,Zilker Park West,15
9900291001,Walk Up,399,2015-10-03 13:12:10 UTC,1006,Zilker Park West,1006,Zilker Park West,26
9900291016,Weekender,153,2015-10-03 14:12:41 UTC,2541,State Capitol @ 14th & Colorado,1006,Zilker Park West,22
9900291033,Walk Up,391,2015-10-03 15:12:37 UTC,2712,Toomey Rd @ South Lamar,2712,Toomey Rd @ South Lamar,121
9900291055,Walk Up,369,2015-10-03 17:12:36 UTC,1006,Zilker Park West,1006,Zilker Park West,35
9900291091,Walk Up,563,2015-10-03 21:12:30 UTC,1006,Zilker Park West,1008,Nueces @ 3rd,26
9900291092,Walk Up,320,2015-10-03 21:12:13 UTC,2712,Toomey Rd @ South Lamar,1008,Nueces @ 3rd,7
9900291097,Walk Up,241,2015-10-03 21:12:32 UTC,1006,Zilker Park West,2576,Rainey @ River St,28
9900291105,Walk Up,397,2015-10-03 21:12:04 UTC,1006,Zilker Park West,2712,Toomey Rd @ South Lamar,29
9900291129,Weekender,362,2015-10-03 10:12:16 UTC,2546,ACC - West & 12th Street,2536,Waller & 6th St.,11
9900291214,Walk Up,160,2015-10-03 16:12:29 UTC,1006,Zilker Park West,1007,Lavaca & 6th,0
9900291221,Explorer,95,2015-10-03 16:12:22 UTC,2541,State Capitol @ 14th & Colorado,1006,Zilker Park West,26
9900291266,Explorer,301,2015-10-03 20:12:07 UTC,1006,Zilker Park West,2541,State Capitol @ 14th & Colorado,29
9900291278,Walk Up,513,2015-10-03 21:12:14 UTC,1006,Zilker Park West,2546,ACC - West & 12th Street,18
9900291324,Walk Up,801,2015-10-03 12:12:25 UTC,1007,Lavaca & 6th,1006,Zilker Park West,19
9900291357,Walk Up,920,2015-10-03 13:12:49 UTC,2546,ACC - West & 12th Street,1006,Zilker Park West,38
9900291362,Walk Up,559,2015-10-03 13:12:44 UTC,1006,Zilker Park West,1006,Zilker Park West,27
9900291374,Weekender,236,2015-10-03 14:12:58 UTC,2546,ACC - West & 12th Street,1006,Zilker Park West,15
9900291405,Walk Up,26,2015-10-03 16:12:51 UTC,1006,Zilker Park West,1007,Lavaca & 6th,0
9900291436,Weekender,789,2015-10-03 19:12:09 UTC,1006,Zilker Park West,2712,Toomey Rd @ South Lamar,15
9900291473,Walk Up,1000,2015-10-03 21:12:03 UTC,1006,Zilker Park West,1007,Lavaca & 6th,0
9900291483,Walk Up,301,2015-10-03 23:12:23 UTC,2541,State Capitol @ 14th & Colorado,2576,Rainey @ River St,38
9900291511,Walk Up,965,2015-10-03 12:12:42 UTC,1008,Nueces @ 3rd,2712,Toomey Rd @ South Lamar,9
9900291526,Walk Up,685,2015-10-03 12:12:00 UTC,2536,Waller & 6th St.,3293,East 2nd & Pedernales,10
9900291551,Weekender,85,2015-10-03 13:12:24 UTC,2576,Rainey @ River St,1006,Zilker Park West,23
9900291600,Walk Up,16,2015-10-03 16:12:04 UTC,2712,Toomey Rd @ South Lamar,1007,Lavaca & 6th,0
9900291625,Walk Up,369,2015-10-03 18:12:55 UTC,1006,Zilker Park West,1006,Zilker Park West,4
9900291628,Walk Up,2459,2015-10-03 19:12:16 UTC,1006,Zilker Park West,2712,Toomey Rd @ South Lamar,22
9900291630,Walk Up,58,2015-10-03 19:12:53 UTC,1007,Lavaca & 6th,1007,Lavaca & 6th,0
9900291658,Walk Up,839,2015-10-03 21:12:04 UTC,1006,Zilker Park West,2576,Rainey @ River St,28
9900291659,Walk Up,548,2015-10-03 21:12:47 UTC,1006,Zilker Park West,1007,Lavaca & 6th,0
9900291686,Walk Up,272,2015-10-03 23:12:42 UTC,2576,Rainey @ River St,2536,Waller & 6th St.,43
9900291767,Walk Up,578,2015-10-03 14:12:18 UTC,2541,State Capitol @ 14th & Colorado,1006,Zilker Park West,23
9900291784,Walk Up,176,2015-10-03 15:12:48 UTC,2712,Toomey Rd @ South Lamar,2712,Toomey Rd @ South Lamar,122
9900291792,Walk Up,177,2015-10-03 16:12:43 UTC,2712,Toomey Rd @ South Lamar,1007,Lavaca & 6th,0
9900291831,Walk Up,16,2015-10-03 19:12:39 UTC,1007,Lavaca & 6th,1007,Lavaca & 6th,0
9900291856,Walk Up,877,2015-10-03 21:12:43 UTC,1006,Zilker Park West,2576,Rainey @ River St,31
9900291861,Walk Up,472,2015-10-03 21:12:45 UTC,1006,Zilker Park West,2546,ACC - West & 12th Street,155
9900291867,Walk Up,683,2015-10-03 21:12:48 UTC,1006,Zilker Park West,2712,Toomey Rd @ South Lamar,30
9900291910,Walk Up,540,2015-10-03 11:12:02 UTC,1006,Zilker Park West,1006,Zilker Park West,1
9900291912,Walk Up,49,2015-10-03 12:12:44 UTC,2541,State Capitol @ 14th & Colorado,2541,State Capitol @ 14th & Colorado,38
9900291921,Walk Up,540,2015-10-03 12:12:16 UTC,1008,Nueces @ 3rd,1008,Nueces @ 3rd,0
9900291934,Walk Up,445,2015-10-03 13:12:09 UTC,1007,Lavaca & 6th,3291,11th & San Jacinto,18
9900291941,Walk Up,195,2015-10-03 13:12:38 UTC,2712,Toomey Rd @ South Lamar,2712,Toomey Rd @ South Lamar,0
9900292020,Walk Up,58,2015-10-03 18:12:59 UTC,1007,Lavaca & 6th,1007,Lavaca & 6th,0
9900292021,Walk Up,16,2015-10-03 18:12:12 UTC,1007,Lavaca & 6th,1007,Lavaca & 6th,0
9900292026,Weekender,80,2015-10-03 19:12:23 UTC,1006,Zilker Park West,2712,Toomey Rd @ South Lamar,15
9900292050,Walk Up,470,2015-10-03 21:12:34 UTC,1006,Zilker Park West,1008,Nueces @ 3rd,23
9900292057,Walk Up,864,2015-10-03 21:12:26 UTC,1006,Zilker Park West,2712,Toomey Rd @ South Lamar,8
9900292059,Walk Up,696,2015-10-03 21:12:19 UTC,1006,Zilker Park West,2576,Rainey @ River St,31
9900292064,Walk Up,882,2015-10-03 22:12:11 UTC,2576,Rainey @ River St,2568,East 11th St. at Victory Grill,14
9900292065,Walk Up,877,2015-10-03 22:12:42 UTC,2576,Rainey @ River St,2568,East 11th St. at Victory Grill,14
9900292075,Founding Member,236,2015-10-03 20:12:51 UTC,1006,Zilker Park West,2712,Toomey Rd @ South Lamar,7
9900292084,Local365,539,2015-10-03 12:12:23 UTC,2568,East 11th St. at Victory Grill,1006,Zilker Park West,24
9900292102,Local365,176,2015-10-03 19:12:00 UTC,1006,Zilker Park West,1008,Nueces @ 3rd,14
9900292115,Local365,735,2015-10-03 11:12:49 UTC,2712,Toomey Rd @ South Lamar,1008,Nueces @ 3rd,6
9900292122,Local365,518,2015-10-03 14:12:39 UTC,1006,Zilker Park West,1006,Zilker Park West,1
9900292139,Local365,514,2015-10-03 14:12:45 UTC,1007,Lavaca & 6th,1008,Nueces @ 3rd,3
9900292152,Local365,898,2015-10-03 10:12:11 UTC,2576,Rainey @ River St,2536,Waller & 6th St.,8
9900292155,Local365,993,2015-10-03 11:12:21 UTC,2712,Toomey Rd @ South Lamar,2712,Toomey Rd @ South Lamar,0
9900292174,Local365,181,2015-10-03 18:12:19 UTC,1008,Nueces @ 3rd,1008,Nueces @ 3rd,17
